"","V1","V2","V3","V4"
"1","KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_E05_1151626","TCGA-A7-A3RF","10A","Normal"
"2","GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_C12_778064","TCGA-EW-A1P5","10A","Normal"
"3","RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_E01_771972","TCGA-BH-A1FJ","01A","Tumor"
"4","DLP_REDO_FROM_COPAL_E08","TCGA-A7-A6VV","01A","Tumor"
"5","GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_F04_735226","TCGA-C8-A12T","10A","Normal"
"6","CROZE_p_TCGA_254_256_255_N_GenomeWideSNP_6_B03_1301432","TCGA-BH-A42V","01A","Tumor"
"7","EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_C05_802414","TCGA-AR-A24Q","10A","Normal"
"8","COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_C09_667242","TCGA-AN-A0FX","01A","Tumor"
"9","FENCE_p_TCGAb_332_333_334_NSP_GenomeWideSNP_6_G06_1367394","TCGA-S3-A6ZH","01A","Tumor"
"10","WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_E05_799890","TCGA-D8-A27E","10A","Normal"
"11","SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_A09_730954","TCGA-AN-A0XR","10A","Normal"
"12","PITON_p_TCGA_b162_167_SNP_N_GenomeWideSNP_6_C04_844772","TCGA-GM-A2DH","10C","Normal"
"13","JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_A07_747984","TCGA-AR-A1AO","10A","Normal"
"14","WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_A06_799976","TCGA-C8-A273","01A","Tumor"
"15","GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_G10_778062","TCGA-EW-A1OW","01A","Tumor"
"16","GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_A04_777990","TCGA-E2-A1II","01A","Tumor"
"17","HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_D10_741440","TCGA-E2-A14W","10A","Normal"
"18","MAPLE_p_TCGAb78_BrstRedo_SNP_N_GenomeWideSNP_6_G12_729710","TCGA-BH-A0BC","11A","Normal"
"19","RAMIE_p_6TCGA_250_232_4_236_N_GenomeWideSNP_6_G03_1245226","TCGA-GM-A3XN","10A","Normal"
"20","JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_A02_747974","TCGA-BH-A0H3","11A","Normal"
"21","DRIPS_p_TCGA_295_296_297_N_GenomeWideSNP_6_H08_1343752","TCGA-AR-A5QN","10A","Normal"
"22","DLP_REDO_FROM_MOHEL_B02","TCGA-LL-A50Y","01A","Tumor"
"23","HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_C07_741416","TCGA-E2-A155","01A","Tumor"
"24","TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_A05_1513294","TCGA-LL-A9Q3","10A","Normal"
"25","SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_B01_698110","TCGA-A2-A0T4","01A","Tumor"
"26","MAPLE_p_TCGAb78_BrstRedo_SNP_N_GenomeWideSNP_6_H02_729740","TCGA-BH-A0BV","11A","Normal"
"27","CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_G09_777598","TCGA-E9-A1R4","01A","Tumor"
"28","BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_F12_772146","TCGA-D8-A1JF","01A","Tumor"
"29","MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_A11_1320328","TCGA-A2-A4S0","01A","Tumor"
"30","COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_E07_667100","TCGA-BH-A0HU","01A","Tumor"
"31","USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_B08_787480","TCGA-E9-A1RB","01A","Tumor"
"32","WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_E02_799892","TCGA-E9-A295","10A","Normal"
"33","CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_D10_628322","TCGA-A8-A07F","01A","Tumor"
"34","HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_B02_741474","TCGA-E2-A158","10A","Normal"
"35","BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_G09_697048","TCGA-BH-A0H0","01A","Tumor"
"36","EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_A01_1244830","TCGA-B6-A3ZX","01A","Tumor"
"37","EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_B01_802338","TCGA-AR-A24L","01A","Tumor"
"38","BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_C07_666876","TCGA-AN-A04C","01A","Tumor"
"39","USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_D07_787494","TCGA-E9-A1RF","10A","Normal"
"40","USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_F09_787568","TCGA-E9-A22D","01A","Tumor"
"41","HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_G11_741466","TCGA-E2-A14Y","10A","Normal"
"42","URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_F06_735124","TCGA-BH-A0B7","11A","Normal"
"43","URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_D10_735180","TCGA-BH-A0DL","01A","Tumor"
"44","BURSA_p_TCGA_303_304_305_N_GenomeWideSNP_6_D12_1344718","TCGA-OL-A66K","01A","Tumor"
"45","MINAE_p_TCGA_200_202_203_SNP_N_GenomeWideSNP_6_D11_955180","TCGA-E2-A3DX","01A","Tumor"
"46","CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_E03_628254","TCGA-A8-A08A","01A","Tumor"
"47","KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_G05_1151570","TCGA-AC-A3QQ","01A","Tumor"
"48","ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_D10_734748","TCGA-AN-A0XL","10A","Normal"
"49","ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_F11_734726","TCGA-AO-A124","01A","Tumor"
"50","SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_F11_698086","TCGA-A2-A0T0","10A","Normal"
"51","EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_B07_802436","TCGA-AR-A24V","01A","Tumor"
"52","SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_E06_731036","TCGA-AN-A0XS","01A","Tumor"
"53","COMIC_p_TCGA_b142_SNP_S_GenomeWideSNP_6_H11_804422","TCGA-AR-A254","10A","Normal"
"54","EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_B02_802422","TCGA-A7-A26F","10A","Normal"
"55","BEDEW_p_TCGA_FFPE_7_13_N_GenomeWideSNP_6_C06_1347318","TCGA-A7-A26J","01B","Tumor"
"56","SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_E05_731014","TCGA-B6-A0WZ","01A","Tumor"
"57","BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_E03_666982","TCGA-A2-A04Y","10A","Normal"
"58","GHOUL_p_TCGASNP_b85and51R_N_GenomeWideSNP_6_D09_735346","TCGA-D8-A141","01A","Tumor"
"59","BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_F08_666890","TCGA-A8-A097","10A","Normal"
